Company Name,Job Title,Role,Salaries Reported,Location,Salary
Giftiicon,Data Scientist,Manager,1,Bangalore,"₹18,57,305/yr"
Tiger Analytics,Data Analyst,Specialist,1,Mumbai,"₹7,50,000/yr"
Omdena,Machine Learning Engineer,Specialist,1,New Delhi,"₹1,28,988/yr"
Tableau Software,Data Engineer,Specialist,1,Pune,"₹2,07,164/mo"
Toyota North America,Data Scientist,Specialist,1,Bangalore,"₹9,12,580/yr"
WNS,Data Analyst,Specialist,1,Hyderabad,"₹5,13,120/yr"
DataVal Analytics,Machine Learning Engineer,Specialist,1,Bangalore,"₹6,05,388/yr"
Intel Corporation,Machine Learning Engineer,Specialist,1,Bangalore,₹184/hr
Defence Research & Development Organisation,Data Scientist,Specialist,1,Bangalore,"₹13,275/mo"
Larsen & Toubro,Data Analyst,Specialist,3,Mumbai,"₹62,701/mo"
Episource,Data Engineer,Specialist,1,Mumbai,"₹10,90,171/yr"
RiM LaS,Data Engineer,Specialist,1,New Delhi,"₹3,08,214/yr"
Speed TechServe,Data Scientist,Specialist,1,Pune,₹340/hr
Abzooba,Data Scientist,Specialist,3,Pune,"₹18,00,000/yr"
MONSOON INFOTECH INC.,Machine Learning Engineer,Specialist,1,New Delhi,"₹6,00,000/yr"
Reliance Industries,Data Scientist,Specialist,1,Hyderabad,"₹1,69,396/yr"
Wells Fargo,Data Engineer,Specialist,1,Hyderabad,"₹9,29,931/yr"
Wells Fargo,Data Engineer,Specialist,2,Bangalore,"₹23,36,080/yr"
InfoCepts,Data Engineer,Specialist,1,Pune,"₹10,27,381/yr"
CRISIL,Data Analyst,Specialist,2,Mumbai,₹85/hr
MIT,Data Analyst,Specialist,1,Pune,"₹2,47,596/yr"
Microsoft,Data Engineer,Specialist,1,Hyderabad,"₹20,63,316/yr"
PolicyBazaar,Data Analyst,Manager,1,New Delhi,"₹16,36,694/yr"
Impact Analytics,Data Scientist,Specialist,40,Bangalore,₹316/hr
IBM,Data Scientist,Specialist,21,New Delhi,"₹9,16,284/yr"
Celusion Technologies,Machine Learning Engineer,Specialist,1,Mumbai,"₹11,293/mo"
ICICI Bank,Data Engineer,Specialist,1,Mumbai,"₹4,23,402/yr"
Kvantum,Data Scientist,Specialist,2,New Delhi,"₹10,34,962/yr"
Microsoft,Data Scientist,Specialist,3,Hyderabad,₹302/hr
Amity University,Data Scientist,Specialist,2,New Delhi,"₹10,59,305/yr"
SelfEmployed.com,Data Scientist,Manager,1,Bangalore,"₹18,15,869/yr"
Vectra AI,Machine Learning Engineer,Manager,1,Bangalore,"₹32,14,792/yr"
Mate Labs,Data Scientist,Specialist,1,Bangalore,"₹2,02,452/yr"
IMDb,Data Scientist,Specialist,1,Pune,"₹12,03,912/yr"
TCS,Data Engineer,Specialist,2,Mumbai,"₹4,59,892/yr"
General Mills,Data Scientist,Manager,1,Mumbai,"₹58,64,988/yr"
EarlySalary.com,Data Engineer,Specialist,1,Pune,"₹5,13,690/yr"
SCORG Technologies,Data Scientist,Specialist,1,Pune,"₹6,46,214/yr"
Maxgen Technologies,Data Scientist,Manager,1,Mumbai,"₹8,23,189/yr"
Blackcoffer,Data Scientist,Specialist,2,New Delhi,"₹90,564/yr"
Apar Technologies,Data Scientist,Specialist,1,Pune,"₹5,00,000/yr"
Red Hat,Machine Learning Engineer,Specialist,1,Pune,"₹6,54,767/yr"
Internship Studio,Machine Learning Engineer,Specialist,1,Mumbai,"₹62,004/yr"
Wunderman Thompson,Data Analyst,Manager,1,New Delhi,"₹17,52,587/yr"
Turtlemint,Data Engineer,Manager,1,Pune,"₹44,41,133/yr"
First Student,Data Scientist,Manager,1,Hyderabad,"₹10,03,891/yr"
TELiBrahma,Data Scientist,Specialist,1,Bangalore,"₹6,42,324/yr"
Yukthi Datasoft,Data Analyst,Specialist,2,Bangalore,"₹2,14,548/yr"
20K Group,Data Analyst,Specialist,1,Mumbai,"₹42,892/yr"
NNT Corp.,Data Scientist,Specialist,1,Bangalore,"₹17,00,000/yr"
DataBeat,Data Analyst,Manager,1,Hyderabad,"₹13,01,663/yr"
HCL Technologies,Data Scientist,Specialist,1,Mumbai,"₹14,17,138/yr"
Nitish Verma,Data Scientist,Manager,1,Pune,"₹37,41,672/yr"
Micron Technology,Data Scientist,Specialist,1,Hyderabad,"₹50,367/mo"
ICS Consultancy,Machine Learning Engineer,Specialist,1,Mumbai,"₹18,81,045/yr"
Nokia,Data Scientist,Specialist,6,Bangalore,"₹16,63,189/yr"
Baker Hughes,Data Engineer,Specialist,2,Bangalore,"₹13,03,425/yr"
Instamojo,Data Scientist,Specialist,1,Bangalore,"₹38,08,049/yr"
SCORG Technologies,Data Scientist,Manager,1,Pune,"₹1,31,900/mo"
Yes Marketing,Data Scientist,Specialist,1,Mumbai,"₹3,72,948/yr"
ADHOC Services,Data Analyst,Specialist,1,Pune,"₹46,955/mo"
CloudCover,Data Engineer,Specialist,1,Pune,"₹19,20,000/yr"
Zomato,Data Engineer,Manager,1,New Delhi,"₹1,10,74,616/yr"
Ziff Davis LLC,Data Analyst,Specialist,1,Pune,"₹5,21,474/yr"
DT-Trak Consulting,Data Analyst,Specialist,1,Mumbai,"₹6,00,000/yr"
OkCredit,Data Scientist,Specialist,1,Bangalore,"₹25,122/mo"
Brillio,Data Engineer,Specialist,6,Bangalore,₹242/hr
Uber,Data Analyst,Specialist,4,Hyderabad,"₹6,62,645/yr"
ICICI Bank,Data Scientist,Specialist,3,Hyderabad,"₹16,00,000/yr"
McKinsey & Company,Data Analyst,Specialist,7,New Delhi,"₹14,01,954/yr"
PwC,Data Engineer,Specialist,3,Bangalore,"₹7,50,000/yr"
Amazon,Data Engineer,Specialist,7,Hyderabad,₹140/hr
None of Your Business Boutique,Data Engineer,Specialist,1,New Delhi,"₹24,52,654/yr"
Cere Labs,Machine Learning Engineer,Specialist,2,Mumbai,"₹3,02,507/yr"
IIT Delhi,Machine Learning Engineer,Specialist,1,New Delhi,"₹2,43,936/yr"
Standard Chartered Bank,Data Analyst,Specialist,3,Bangalore,"₹6,70,000/yr"
Jio,Data Engineer,Specialist,1,Pune,"₹9,16,285/yr"
Liases Foras,Data Engineer,Specialist,1,Mumbai,"₹3,05,428/yr"
T-Mobile,Data Scientist,Specialist,1,Bangalore,"₹10,23,226/yr"
Jost Hurler,Data Engineer,Specialist,1,Mumbai,"₹25,920/mo"
Impact Analytics,Data Scientist,Specialist,1,Bangalore,"₹8,50,169/yr"
XYZ,Data Analyst,Specialist,3,New Delhi,"₹5,77,190/yr"
FaceX,Machine Learning Engineer,Specialist,1,Bangalore,"₹7,03,418/yr"
Happiest Minds Technologies,Data Engineer,Specialist,2,Bangalore,"₹12,76,978/yr"
Congregation Brit Shalom,Data Scientist,Specialist,1,Bangalore,"₹6,19,069/yr"
Pramata,Data Analyst,Specialist,3,Bangalore,"₹3,09,492/yr"
Baker Hughes,Data Engineer,Specialist,1,New Delhi,"₹1,69,396/yr"
Tata Consultancy Services,Data Engineer,Manager,1,Bangalore,"₹34,75,819/yr"
Q3 Technologies,Data Engineer,Manager,1,New Delhi,₹933/hr
SPS Commerce,Data Scientist,Specialist,1,Bangalore,"₹3,60,000/yr"
Peacock Solar,Data Analyst,Specialist,3,New Delhi,"₹64,488/yr"
Cubictree Technology Solutions,Data Engineer,Specialist,3,Pune,"₹3,22,465/yr"
Sixth Energy Technologies,Machine Learning Engineer,Manager,1,Bangalore,"₹9,10,591/yr"
BridgeLabz Solutions,Machine Learning Engineer,Manager,1,Mumbai,"₹9,77,668/yr"
Britis Telecom,Data Analyst,Specialist,4,New Delhi,"₹4,64,246/yr"
Dynata,Data Analyst,Manager,1,Hyderabad,"₹10,09,398/yr"
Confidential,Data Scientist,Specialist,1,Bangalore,"₹14,32,516/yr"
Legato Health Technologies,Data Scientist,Specialist,2,Hyderabad,"₹12,60,152/yr"
CoRover,Data Scientist,Specialist,1,Bangalore,₹944/hr
Kp techobriks,Data Scientist,Specialist,1,Pune,"₹2,56,932/yr"
GetMyUni,Data Scientist,Specialist,1,Bangalore,"₹8,56,429/yr"
Nones,Data Analyst,Specialist,5,Pune,"₹3,59,583/yr"
InMobi,Data Scientist,Specialist,3,Bangalore,"₹17,00,000/yr"
Google Summer of Code,Data Engineer,Specialist,1,Hyderabad,"₹1,04,824/yr"
Prateek Mishra,Data Engineer,Specialist,1,New Delhi,"₹31,288/mo"
Deccan Infosystems,Data Scientist,Manager,1,Bangalore,"₹13,36,225/yr"
Freshworks,Data Scientist,Specialist,2,Mumbai,"₹4,94,353/yr"
Avail Finance,Data Scientist,Specialist,1,Bangalore,₹118/hr
Tokopedia,Data Scientist,Specialist,2,New Delhi,"₹15,30,120/yr"
FIS,Machine Learning Engineer,Specialist,1,Pune,"₹9,67,394/yr"
Codecsoft IT Services,Data Engineer,Specialist,1,Hyderabad,"₹52,412/mo"
MapmyIndia,Data Analyst,Specialist,3,New Delhi,"₹27,199/mo"
